"2Theta","J_0_AD_","J_0_GL_","J_0_HT_"
14.205594780693177,318,510,318
14.218725063371032,276,486,300
14.231855346048887,326,479,303
14.244985628726742,270,502,326
14.258115911404596,302,496,288
14.271246194082451,316,490,299
14.284376476760306,331,490,321
14.29750675943816,283,505,282
14.310637042116015,297,480,271
14.32376732479387,286,484,304
14.336897607471725,289,470,299
14.35002789014958,304,503,330
14.363158172827434,302,508,307
14.37628845550529,278,514,301
14.389418738183144,284,460,331
14.402549020860999,289,493,318
14.415679303538854,293,515,286
14.428809586216708,282,511,296
14.441939868894563,297,501,311
14.455070151572418,278,534,287
14.468200434250273,276,551,306
14.481330716928127,286,508,315
14.494460999605982,301,530,280
14.507591282283837,291,522,291
14.520721564961692,279,517,319
14.533851847639546,261,571,297
14.546982130317401,273,576,286
14.560112412995256,312,589,301
14.57324269567311,292,569,307
14.586372978350965,306,585,298
14.59950326102882,292,573,300
14.612633543706675,301,623,241
14.62576382638453,280,587,307
14.638894109062385,312,592,287
14.65202439174024,294,622,298
14.665154674418094,278,590,279
14.678284957095949,313,530,314
14.691415239773804,297,515,286
14.704545522451658,287,511,308
14.717675805129513,272,483,283
14.730806087807368,299,544,321
14.743936370485223,287,527,296
14.757066653163077,304,536,269
14.770196935840932,310,514,342
14.783327218518787,293,488,308
14.796457501196642,300,518,282
14.809587783874496,275,495,295
14.822718066552351,324,518,296
14.835848349230208,292,545,300
14.848978631908063,300,505,282
14.862108914585917,285,499,314
14.875239197263772,304,445,279
14.888369479941627,299,516,311
14.901499762619482,318,519,291
14.914630045297336,304,528,297
14.927760327975191,267,498,275
14.940890610653046,309,534,308
14.9540208933309,295,517,297
14.967151176008755,287,467,293
14.98028145868661,312,475,310
14.993411741364465,297,526,274
15.00654202404232,296,485,288
15.019672306720175,319,480,305
15.03280258939803,267,516,302
15.045932872075884,292,490,302
15.059063154753739,277,523,274
15.072193437431594,304,501,301
15.085323720109448,259,474,276
15.098454002787303,267,497,328
15.111584285465158,299,496,274
15.124714568143013,293,494,312
15.137844850820867,284,511,281
15.150975133498722,289,494,272
15.164105416176577,278,454,286
15.177235698854432,271,516,295
15.190365981532286,287,486,265
15.203496264210141,291,511,298
15.216626546887996,268,498,297
15.22975682956585,263,491,282
15.242887112243706,275,482,297
15.25601739492156,290,478,317
15.269147677599415,285,530,285
15.28227796027727,284,497,295
15.295408242955125,294,522,308
15.30853852563298,296,470,292
15.321668808310834,287,504,306
15.334799090988689,317,517,290
15.347929373666544,262,519,271
15.361059656344398,279,480,312
15.374189939022253,293,488,295
15.387320221700108,284,501,295
15.400450504377963,264,482,290
15.413580787055817,268,498,301
15.426711069733672,270,507,297
15.439841352411527,259,538,337
15.452971635089382,298,489,306
15.466101917767237,269,509,265
15.479232200445091,296,482,278
15.492362483122946,265,489,277
15.5054927658008,283,482,321
15.518623048478656,286,506,290
15.53175333115651,316,506,304
15.544883613834365,330,511,319
15.55801389651222,272,482,285
15.571144179190075,241,517,283
15.584274461867931,301,492,309
15.597404744545786,262,475,308
15.61053502722364,284,488,308
15.623665309901495,263,479,314
15.63679559257935,258,497,298
15.649925875257205,294,494,274
15.66305615793506,293,520,261
15.676186440612915,285,508,302
15.68931672329077,268,529,303
15.702447005968624,286,511,287
15.715577288646479,302,498,296
15.728707571324334,297,478,301
15.741837854002188,271,540,282
15.754968136680043,270,488,330
15.768098419357898,280,547,276
15.781228702035753,242,530,293
15.794358984713607,291,500,313
15.807489267391462,275,486,305
15.820619550069317,239,534,296
15.833749832747172,277,560,318
15.846880115425027,288,545,291
15.860010398102881,262,492,305
15.873140680780736,259,464,291
15.88627096345859,282,520,316
15.899401246136446,285,491,256
15.9125315288143,308,499,314
15.925661811492155,299,498,289
15.93879209417001,291,555,288
15.951922376847865,263,537,289
15.96505265952572,290,510,295
15.978182942203574,279,520,284
15.991313224881429,278,568,275
16.004443507559284,300,496,297
16.017573790237137,242,485,270
16.030704072914993,249,513,301
16.04383435559285,281,500,346
16.056964638270703,290,560,303
16.070094920948556,297,514,292
16.083225203626412,300,484,313
16.09635548630427,275,526,278
16.109485768982122,269,479,318
16.122616051659975,285,506,271
16.13574633433783,296,525,284
16.148876617015688,293,561,300
16.16200689969354,294,521,302
16.175137182371394,267,534,272
16.18826746504925,304,569,264
16.201397747727107,283,534,303
16.21452803040496,276,531,272
16.227658313082813,289,515,259
16.24078859576067,247,559,312
16.253918878438526,277,508,280
16.26704916111638,286,516,312
16.280179443794232,299,566,280
16.29330972647209,277,570,274
16.306440009149945,279,523,292
16.319570291827798,271,555,283
16.332700574505655,275,596,279
16.345830857183508,292,550,323
16.358961139861364,284,516,277
16.37209142253922,326,554,278
16.385221705217074,288,599,300
16.398351987894927,281,501,311
16.411482270572783,250,561,324
16.42461255325064,305,551,288
16.437742835928493,261,533,302
16.450873118606346,265,554,301
16.464003401284202,304,547,285
16.47713368396206,300,526,314
16.490263966639912,330,560,297
16.503394249317765,303,534,304
16.51652453199562,316,567,305
16.529654814673478,300,607,315
16.54278509735133,322,576,270
16.555915380029184,317,560,309
16.56904566270704,275,572,307
16.582175945384897,282,566,273
16.59530622806275,293,540,303
16.608436510740603,301,561,287
16.62156679341846,256,594,286
16.634697076096316,278,566,305
16.64782735877417,280,572,277
16.660957641452022,289,615,304
16.67408792412988,296,603,288
16.687218206807735,298,577,285
16.700348489485588,303,556,306
16.71347877216344,300,547,312
16.726609054841298,285,632,294
16.739739337519154,301,563,293
16.752869620197007,293,564,305
16.76599990287486,303,592,322
16.779130185552717,288,569,297
16.792260468230573,301,561,316
16.805390750908426,298,612,326
16.81852103358628,318,555,316
16.831651316264136,274,607,283
